"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Windows GDR-Dynamic Update","2","GDR-DU: Update for Windows 8.1 (KB3013769)","2015/05/12 17:00:00","KB3013769-Win8.1-GDR-DU-RTM-X86-TSL","GDR-DU: Update for Windows 8.1 (KB3013769)","2015/05/12 17:00:00","KB3013769-Win8.1-GDR-DU-RTM-X86-TSL","470bd53a-c36a-448f-b620-91feede01946","Windows"
"Windows Insider Pre-Release","73","2021-10 x64 ベース システム用 Windows 10 Version 21H2 の累積更新プログラム (KB5006670)","2021/10/12 17:00:12","KB5006670-Windows1021h2Client-RTM-UnifiedCumulativeSecurity-X64-TSL-World","Windows 10 (ビジネス エディション) Version 21H1、en-gb x86 の Windows Insider プレリリース機能更新プログラム","2021/03/18 17:00:00","","ca006cfb-49eb-439b-880a-1312e1fc9713","Windows"
"Windows Internet Explorer 7 Dynamic Installer","11","Windows Server 2003 for Itanium-based Systems 用 Internet Explorer 7 動的インストーラの累積的なセキュリティ更新プログラム (KB2977629)","2014/09/09 17:00:00","DUOnly-KB2977629-Win2003-IE7-SP2-IA64-TSL","Cumulative Security Update for Internet Explorer 7 Dynamic Installer for Windows XP x64 Edition (KB2909921)","2014/02/11 18:00:00","DUOnly-KB2909921-WinXP-IE7-SP2-X64-TSL","cb263e3f-6c5a-4b71-88fa-1706f9549f51","Windows"
"Windows Internet Explorer 8 Dynamic Installer","20","Windows Server 2003 用 Internet Explorer 8 動的インストーラの累積的なセキュリティ更新プログラム (KB2977629)","2014/09/09 17:00:00","DUOnly-KB2977629-Win2003-IE8-SP2-X86-TSL","Cumulative Security Update for Internet Explorer 8 Dynamic Installer for Windows XP x64 Edition (KB2909921)","2014/02/11 18:00:00","DUOnly-KB2909921-WinXP-IE8-SP2-X64-TSL","5312e4f1-6372-442d-aeb2-15f2132c9bd7","Windows"
"Windows Media Dynamic Installer","4","Windows XP Home Edition N および Windows XP Professional N 用 Windows ムービー メーカー ユーティリティ(KB892312)","2008/11/25 18:00:00","892312_XP_N_SP3_X86","Windows Media Player 11 (Windows XP Professional x64 Edition 用)","2008/04/22 17:00:00","WMP11-WindowsXP-925850-X64","e88a19fb-a847-4e3d-9ae2-13c2b84f58a6","Windows"
"Windows Next Graphics Driver Dynamic update","0",,,,,,,"8c27cdba-6a1c-455e-af20-46b7771bbb96","Windows"
"Windows RT 8.1","12","2022-04 Windows 8.1 RT (ARM ベース システム対応) 用 .NET Framework 4.5.2、4.6、4.6.1、4.6.2、4.7、4.7.1、4.7.2、4.8 用セキュリティおよび品質ロールアップ (KB5012331)","2022/04/12 17:00:00","KB5012331-DotNetMonthlyRollUp-Win81-Client-arm-Retail","November, 2016 Preview of Quality Rollup for .NET Framework 4.5.2, 4.6, 4.6.1 on Windows 8.1 RT for ARM-based Systems (KB3196684)","2016/11/15 18:00:00","KB3196684-DOTNET-ARM-TSL","2c62603e-7a60-4832-9a14-cfdfd2d71b9a","Windows"
"Windows RT","0",,,,,,,"0a07aea1-9d09-4c1e-8dc7-7469228d8195","Windows"
"Windows Safe OS Dynamic Update","118","2022-03 Dynamic Update for Windows 11 for ARM64-based Systems (KB5011579)","2022/03/28 21:00:06","KB5011579-WindowsSV21H2-RTM-SafeOSDU-ARM64-TSL-World","Dynamic Update for Windows 10 Version 1607 for x64-based Systems (KB3194623)","2016/12/26 14:00:00","KB3194623-Windows10Rs1Client-RTM-SafeOSDU-X64-TSL-World","dd1aa213-54e7-4173-8456-b278964a26b6","Windows"
"Windows Server  マネージャ - Windows Server Updates Services (WSUS) 動的インストーラ","2","サーバー マネージャ x64 Edition 用 Windows Server Update Services 3.0 SP2 Dynamic Installer (KB972493)","2011/03/08 18:00:00","WSUS30SP2_972493_x64","サーバー マネージャ用 Windows Server Update Services 3.0 SP2 Dynamic Installer (KB972493)","2009/08/25 17:00:00","WSUS30SP2_972493_x86","4e487029-f550-4c22-8b31-9173f3f95786","Windows"
"Windows Server 2003, Datacenter Edition","2068","Windows Server 2003 for Itanium-based Systems 用セキュリティ更新プログラム (KB3068457)","2015/07/14 17:00:00","KB3068457-Win2003-SP2-IA64-TSL","MS03-026 : セキュリティ問題の修正プログラム (823980)","2003/09/09 20:41:00","823980_ws03_sp1_winse_48713_critical","7f44c2a7-bc36-470b-be3b-c01b6dc5dd4e","Windows"
"Windows Server 2003","2079","Windows Server 2003 for Itanium-based Systems 用セキュリティ更新プログラム (KB3068457)","2015/07/14 17:00:00","KB3068457-Win2003-SP2-IA64-TSL","MS03-026 : セキュリティ問題の修正プログラム (823980)","2003/09/09 20:41:00","823980_ws03_sp1_winse_48713_critical","dbf57a08-0d5a-46ff-b30c-7715eb9498e9","Windows"
"Windows Server 2008 R2","1552","悪意のあるソフトウェアの削除ツール x64 - v5.100 (KB890830)","2022/04/12 21:00:00","890830_AMD64_MRT_v5,100","Security Update for Windows Server 2008 R2 Beta x64 Edition (KB958690)","2009/03/10 17:00:00","WINDOWS6-1-KB958690-X64-BETA-257382","fdfe8200-9d98-44ba-a12a-772282bf60ef","Windows"
"Windows Server 2008 サーバー マネージャ 動的インストーラ","2","Windows Server 2008 サーバー マネージャ (x64 Edition) 用の更新プログラム (KB940518)","2009/03/24 17:00:00","WINDOWSSERVER2008-KB940518-X64-228628","Windows Server 2008 サーバー マネージャ (x64 Edition) 用の更新プログラム (KB940518)","2009/03/24 17:00:00","WINDOWSSERVER2008-KB940518-X64-228628","ec9aaca2-f868-4f06-b201-fb8eefd84cef","Windows"
"Windows Server 2008","2648","悪意のあるソフトウェアの削除ツール x64 - v5.100 (KB890830)","2022/04/12 21:00:00","890830_AMD64_MRT_v5,100","Microsoft .NET Framework 1.0 Service Pack 3 日本語版","2008/03/25 17:00:00","KB867461_DOT_NET_JA_1_0_SP3","ba0ae9cc-5f01-40b4-ac3f-50192b5d6aaf","Windows"
